order_id,customer_id,order_date,status,shipping_method,subtotal,shipping_cost,total
1001,C-1008,2026-01-02,Shipped,Expedited,676.00,14.99,690.99
1002,C-1011,2026-01-08,Processing,Standard,377.00,0.00,377.00
1003,C-1012,2026-01-11,Shipped,Overnight,1022.00,29.99,1051.99
1004,C-1008,2026-01-06,Shipped,Expedited,457.00,14.99,471.99
1005,C-1007,2026-01-12,Shipped,Expedited,896.00,14.99,910.99
1006,C-1002,2025-12-29,Shipped,Overnight,338.00,29.99,367.99
1007,C-1015,2025-12-28,Delivered,Standard,279.00,0.00,279.00
1008,C-1019,2025-12-27,Processing,Standard,527.00,0.00,527.00
1009,C-1005,2026-01-12,Delivered,Overnight,974.00,29.99,1003.99
1010,C-1018,2026-01-06,Processing,Standard,696.00,0.00,696.00
1011,C-1017,2026-01-11,Shipped,Overnight,159.00,29.99,188.99
1012,C-1020,2026-01-13,Processing,Expedited,767.00,14.99,781.99
1013,C-1019,2025-12-27,Delivered,Standard,518.00,0.00,518.00
1014,C-1018,2026-01-03,Shipped,Standard,558.00,0.00,558.00
1015,C-1012,2026-01-18,Shipped,Standard,204.00,0.00,204.00
1016,C-1019,2025-12-31,Processing,Overnight,289.00,29.99,318.99
1017,C-1003,2026-01-13,Shipped,Overnight,129.00,29.99,158.99
1018,C-1019,2025-12-30,Shipped,Standard,506.00,0.00,506.00
1019,C-1002,2026-01-14,Delivered,Standard,846.00,0.00,846.00
1020,C-1009,2025-12-31,Delivered,Standard,457.00,0.00,457.00
1021,C-1006,2026-01-15,Shipped,Standard,247.00,0.00,247.00
1022,C-1014,2026-01-02,Shipped,Standard,536.00,0.00,536.00
1023,C-1002,2026-01-18,Delivered,Standard,597.00,0.00,597.00
1024,C-1013,2026-01-01,Processing,Overnight,249.00,29.99,278.99
1025,C-1014,2025-12-29,Shipped,Overnight,715.00,29.99,744.99
1026,C-1010,2026-01-02,Processing,Overnight,647.00,29.99,676.99
1027,C-1018,2026-01-09,Processing,Standard,318.00,0.00,318.00
1028,C-1012,2026-01-03,Shipped,Overnight,403.00,29.99,432.99
1029,C-1004,2025-12-30,Shipped,Standard,785.00,0.00,785.00
1030,C-1002,2026-01-20,Shipped,Standard,98.00,0.00,98.00
